14:58:12:647 | INFO 	| Log made with LoggerScript.ps1, d.d. 2021-01-23
14:58:12:647 | FORMAL 	| 6 Hi Madam! 
14:58:12:647 | FORMAL 	| 6 Hello Sir! 
14:58:12:647 | FORMAL 	| 6 How are you? 
14:58:12:647 | INFORMAL | 6 What's up?!
14:58:12:647 | INFORMAL | 6 Yo!
14:58:12:647 | FORMAL 	| 5 Hi Madam! 
14:58:12:647 | FORMAL 	| 5 Hello Sir! 
14:58:12:647 | FORMAL 	| 5 How are you? 
14:58:12:647 | INFORMAL | 5 What's up?!
14:58:12:647 | INFORMAL | 5 Yo!
14:58:12:647 | FORMAL 	| 4 Hi Madam! 
14:58:12:647 | FORMAL 	| 4 Hello Sir! 
14:58:12:647 | FORMAL 	| 4 How are you? 
14:58:12:647 | INFORMAL | 4 What's up?!
14:58:12:647 | INFORMAL | 4 Yo!
14:58:12:647 | FORMAL 	| 3 Hi Madam! 
14:58:12:647 | FORMAL 	| 3 Hello Sir! 
14:58:12:647 | FORMAL 	| 3 How are you? 
14:58:12:647 | INFORMAL | 3 What's up?!
14:58:12:647 | INFORMAL | 3 Yo!
14:58:12:647 | FORMAL 	| 2 Hi Madam! 
14:58:12:647 | FORMAL 	| 2 Hello Sir! 
14:58:12:647 | FORMAL 	| 2 How are you? 
14:58:12:647 | INFORMAL | 2 What's up?!
14:58:12:647 | INFORMAL | 2 Yo!
14:58:12:647 | FORMAL 	| 1 Hi Madam! 
14:58:12:647 | FORMAL 	| 1 Hello Sir! 
14:58:12:647 | FORMAL 	| 1 How are you? 
14:58:12:647 | INFORMAL | 1 What's up?!
14:58:12:647 | INFORMAL | 1 Yo!
14:58:12:647 | INFO 	| Goodbye, have a nice day.
